Year,Quarter,Month,Trend,Personal_Income,Qty_Sup_B,Prc_Sup_B,Prc_Wav_B,Prc_Pur_B,Prc_Env_B,Prc_Cud_B,Prc_Sup_F,Prc_Wav_F,Prc_Pur_F,Prc_Cud_F,Prc_Gen_F,YEAR_,MONTH_,DATE_
2005,1,1,1,8859,82,2.800000,4.500000,1.600000,7.200000,3.000000,1.600000,1.300000,2.600000,2.900000,1.900000,2001,1,"JAN 2001"
2005,1,2,2,8859,81,2.800000,4.300000,1.800000,6.500000,3.000000,1.700000,1.700000,2.600000,3.000000,1.800000,2001,2,"FEB 2001"
2005,1,3,3,8859,88,2.500000,4.600000,1.600000,7.300000,3.000000,1.600000,1.700000,3.000000,2.900000,1.900000,2001,3,"MAR 2001"
2005,2,4,4,8881,118,2.800000,5.000000,1.400000,7.700000,3.000000,1.700000,1.400000,2.600000,3.000000,1.900000,2001,4,"APR 2001"
2005,2,5,5,8881,111,2.400000,5.200000,1.600000,7.700000,3.100000,1.700000,1.700000,3.100000,3.000000,1.800000,2001,5,"MAY 2001"
2005,2,6,6,8881,65,3.100000,4.700000,2.100000,7.800000,3.100000,1.600000,1.400000,3.000000,3.000000,2.000000,2001,6,"JUN 2001"
2005,3,7,7,8881,114,2.800000,5.000000,1.800000,7.800000,3.000000,1.700000,1.700000,2.700000,2.900000,1.800000,2001,7,"JUL 2001"
2005,3,8,8,8881,99,2.600000,5.000000,1.700000,7.600000,3.200000,1.700000,1.700000,3.000000,2.900000,1.700000,2001,8,"AUG 2001"
2005,3,9,9,8881,128,2.700000,5.200000,1.500000,6.800000,3.000000,1.800000,1.800000,3.000000,2.800000,2.000000,2001,9,"SEP 2001"
2005,4,10,10,8912,102,2.500000,5.300000,1.400000,7.300000,3.000000,1.600000,1.800000,3.000000,2.800000,1.600000,2001,11,"NOV 2001"
2005,4,11,11,8912,102,2.400000,5.000000,0.600000,7.300000,3.000000,1.800000,1.900000,3.000000,2.900000,2.100000,2001,10,"OCT 2001"
2005,4,12,12,8912,109,2.600000,5.400000,1.200000,7.500000,3.200000,1.800000,1.400000,3.200000,2.800000,1.900000,2001,12,"DEC 2001"
2006,1,1,13,8978,131,2.400000,5.300000,1.500000,7.100000,3.100000,1.600000,1.700000,3.000000,2.900000,1.900000,2002,2,"FEB 2002"
2006,1,2,14,8978,112,2.600000,5.400000,1.700000,5.200000,3.100000,1.700000,1.900000,3.000000,2.700000,1.800000,2002,1,"JAN 2002"
2006,1,3,15,8978,136,2.500000,5.400000,1.300000,7.000000,2.900000,1.700000,1.300000,2.900000,2.800000,1.800000,2002,3,"MAR 2002"
2006,2,4,16,9061,107,2.600000,5.100000,1.700000,6.400000,2.900000,1.700000,2.000000,2.700000,2.900000,1.700000,2002,6,"JUN 2002"
2006,2,5,17,9061,140,2.300000,5.500000,1.800000,6.500000,3.100000,1.600000,1.700000,3.400000,2.700000,1.700000,2002,5,"MAY 2002"
2006,2,6,18,9061,203,2.400000,5.400000,1.600000,6.800000,3.000000,1.700000,1.700000,3.000000,3.000000,1.600000,2002,4,"APR 2002"
2006,3,7,19,9075,113,2.500000,4.800000,1.700000,5.100000,2.900000,1.700000,1.600000,2.400000,2.700000,1.700000,2002,9,"SEP 2002"
2006,3,8,20,9075,101,2.800000,4.800000,1.900000,8.100000,2.900000,1.700000,2.100000,3.200000,2.900000,1.800000,2002,8,"AUG 2002"
2006,3,9,21,9075,126,2.800000,5.000000,1.500000,7.100000,2.900000,1.800000,2.200000,3.000000,2.800000,1.800000,2002,7,"JUL 2002"
2006,4,10,22,9127,124,2.400000,4.700000,1.600000,7.100000,2.800000,1.700000,2.200000,3.300000,2.600000,1.700000,2002,10,"OCT 2002"
2006,4,11,23,9127,111,2.400000,5.200000,0.700000,7.200000,3.000000,1.600000,2.000000,3.100000,2.700000,1.800000,2002,11,"NOV 2002"
2006,4,12,24,9127,105,2.600000,4.900000,0.800000,7.300000,3.000000,1.800000,1.600000,3.300000,2.500000,1.900000,2002,12,"DEC 2002"
2007,1,1,25,9195,118,2.700000,4.700000,1.400000,6.800000,3.000000,1.700000,2.000000,3.200000,2.800000,1.800000,2003,1,"JAN 2003"
2007,1,2,26,9195,118,2.500000,4.800000,1.800000,7.400000,3.000000,1.700000,2.100000,2.700000,3.000000,1.800000,2003,2,"FEB 2003"
2007,1,3,27,9195,150,2.600000,5.000000,1.500000,7.100000,3.000000,1.700000,2.000000,3.600000,3.100000,1.900000,2003,3,"MAR 2003"
2007,2,4,28,9321,101,2.800000,5.100000,1.400000,7.700000,3.000000,1.800000,1.400000,3.700000,3.100000,1.800000,2003,4,"APR 2003"
2007,2,5,29,9321,136,2.500000,4.800000,1.700000,7.600000,3.100000,1.800000,1.800000,3.500000,3.100000,1.800000,2003,5,"MAY 2003"
